id,budget,revenue,title,imdb_id,release_date,gross,budget_new,budget_final,opening_weekend,cum_worldwide,revenue_final
13168,20000000,8768,Smiley Face,tt0780608,2007-01-21,"{'Opening Weekend United States': '$5,993, 18 Nov 2007', 'Cumulative Worldwide Gross': '$179,381, 10 Feb 2008'}",20000000,20000000,5993,179381 10 Feb 2008,179381
25186,10000000,9069,Janky Promoters,tt1210071,2009-10-16,"{'Opening Weekend United States': '$5,702, 18 Oct 2009'}",10000000,10000000,5702,9069,9069
15209,20000000,9090,Eight Days a Week,tt0119054,1997-01-17,"{'Opening Weekend United States': '$9,090, 28 Feb 1999'}",20000000,20000000,9090,9090,9090
316021,20000000,9188,Frank & Lola,tt1290138,2016-12-09,None,20000000,20000000,9188,9188,9188
159638,20000000,9195,Ghost Team One,tt2272336,2013-01-20,None,20000000,20000000,9195,9195,9195
211067,4000000,9221,The Sacrament,tt2383068,2013-09-02,"{'Budget': '$4,000,000 (estimated)', 'Opening Weekend United States': '$583, 08 Jun 2014'}",4000000,4000000,583,9221,9221
254191,1000000,9318,Honeymoon,tt3177316,2014-09-12,"{'Budget': '$1,000,000 (estimated)', 'Opening Weekend United States': '$4,131, 12 Sep 2014'}",1000000,1000000,4131,9318,24343
93828,8500000,9747,Welcome to the Punch,tt1684233,2013-03-15,"{'Budget': '$8,500,000 (estimated)'}",8500000,8500000,9747,9747,3926386
47139,7300,13674,"Blood, Guts, Bullets and Octane",tt0163984,1998-10-16,"{'Budget': '$7,300 (estimated)', 'Opening Weekend United States': '$7,560, 11 Apr 1999'}",7300,7300,7560,13674,15035
46883,2500,15425,Quiet City,tt0914382,2007-03-12,"{'Budget': '$2,500 (estimated)', 'Opening Weekend United States': '$6,045, 02 Sep 2007'}",2500,2500,6045,15425,15610
14337,7000,424760,Primer,tt0390384,2004-10-08,"{'Budget': '$7,000 (estimated)', 'Opening Weekend United States': '$28,162, 10 Oct 2004'}",7000,7000,28162,424760,424760
1435,218,1162014,Tarnation,tt0390538,2003-10-19,"{'Budget': '$218 (estimated)', 'Opening Weekend United States': '$12,740, 10 Oct 2004'}",218,218,12740,1162014,1162014
50217,93,2500000,From Prada to Nada,tt0893412,2011-01-28,None,93,,2500000,2500000,4072098
3082,1,8500000,Modern Times,tt0027977,1936-02-05,"{'Budget': '$1,500,000 (estimated)', 'Opening Weekend United States': '$11,507, 09 Jan 2004'}",1500000,1500000,11507,8500000,8500000
78383,10,10000000,Nurse 3-D,tt1913166,2013-09-28,"{'Budget': '$10,000,000 (estimated)'}",10000000,10000000,10000000,10000000,10000000
13703,1,12396383,Less Than Zero,tt0093407,1987-11-06,"{'Opening Weekend United States': '$3,008,987, 08 Nov 1987'}",1,8000000,3008987,12396383,12396383
8856,113,115103979,"The Karate Kid, Part II",tt0091326,1986-06-18,"{'Opening Weekend United States': '$12,652,336, 22 Jun 1986'}",113,13000000,12652336,115103979,115103979
