id,imdb_id,budget_old_new,budget_scrape
14671,tt0094072,0.0,0
14249,tt0100485,0.0,0
9846,tt0090180,0.0,6000000 
23719,tt0111477,0.0,0
10166,tt0100944,0.0,0
6069,tt0094332,0.0,22000000 
12545,tt0070239,0.0,0
1594,tt0058586,0.0,0
37749,tt0076327,0.0,0
22584,tt0037382,0.0,0
21779,tt0060980,0.0,3500000 
19361,tt0111218,0.0,0
19345,tt0090738,0.0,10500000 
10433,tt0107473,0.0,19000000 
11024,tt0331632,0.0,80000000 
10544,tt0277941,0.0,0
13573,tt0301976,0.0,0
41857,tt0062708,0.0,4450000 
12239,tt0086058,0.0,6500000 
883,tt0379217,0.0,0
17993,tt0099762,0.0,0
41003,tt0103251,0.0,0
17538,tt0073636,0.0,0
34328,tt0102467,0.0,0
14684,tt0105327,0.0,18000000 
32430,tt0037536,0.0,0
16113,tt0090927,0.0,12000000 
25389,tt0107529,0.0,13000000 
9545,tt0108171,0.0,0
31112,tt0080461,0.0,0
11060,tt0099850,0.0,0
11030,tt0086637,0.0,0
29235,tt0056368,0.0,1250000 
32450,tt0103872,0.0,0
10652,tt0093137,0.0,0
19086,tt0099399,0.0,0
15392,tt0090888,0.0,0
11548,tt0092494,0.0,25000000 
16214,tt0077696,0.0,6000000 
28219,tt0367790,0.0,0
65137,tt0106877,0.0,0
35151,tt0093175,0.0,0
11546,tt0110857,0.0,6200000 
886,tt0059037,0.0,0
3515,tt0319531,0.0,0
6081,tt0078163,0.0,12000000 
11584,tt0093886,0.0,12000000 
21871,tt0088224,0.0,0
10742,tt0331952,0.0,0
31948,tt0077629,0.0,0
41925,tt0099292,0.0,0
32644,tt0086494,0.0,0
22976,tt0090729,0.0,0
52936,tt0104503,0.0,0
45335,tt0061595,0.0,0
36912,tt0086370,0.0,0
124029,tt0110518,0.0,0
29979,tt0339147,0.0,0
33345,tt0092133,0.0,0
31117,tt0270846,0.0,20000000 
1653,tt0318462,0.0,0
11177,tt0089560,0.0,8000000 
35101,tt0081031,0.0,6000000 
26108,tt0368658,0.0,0
13644,tt0101301,0.0,0
11099,tt0364343,0.0,0
16131,tt0360130,0.0,0
16248,tt0088979,0.0,0
877,tt0023427,0.0,0
13671,tt0056262,0.0,4240000 
27277,tt0062472,0.0,0
42449,tt0071604,0.0,0
10711,tt0073018,0.0,4340000 
19740,tt0073075,0.0,5000000 
18966,tt0079489,0.0,0
13633,tt0085210,0.0,0
30707,tt0086355,0.0,12000000 
47892,tt0086374,0.0,0
22998,tt0086450,0.0,9000000 
47874,tt0087482,0.0,6000000 
16082,tt0090319,0.0,0
60778,tt0099460,0.0,10000000 
10485,tt0099654,0.0,0
31696,tt0102220,0.0,15000000 
25674,tt0102913,0.0,0
40082,tt0104802,0.0,15500000 
31962,tt0105391,0.0,0
41661,tt0107685,0.0,8000000 
11067,tt0110442,0.0,25000000 
35638,tt0120126,0.0,0
54491,tt0206367,0.0,0
38901,tt0285727,0.0,0
11420,tt0379225,0.0,0
1843,tt0388888,0.0,0
51363,tt0396271,0.0,0
8357,tt0399877,0.0,0
9692,tt0361127,0.0,0
842,tt0364961,0.0,0
9953,tt0369672,0.0,0
47876,tt0081063,0.0,0
21030,tt0099342,0.0,0
20196,tt0095560,0.0,13000000 
135473,tt0101404,0.0,0
118075,tt0119209,0.0,0
52778,tt0088330,0.0,0
12721,tt0089695,0.0,0
37527,tt0104139,0.0,0
9688,tt0378947,0.0,0
23916,tt0078056,0.0,0
22434,tt0102095,0.0,0
12778,tt0109936,0.0,0
44181,tt0376717,0.0,0
20187,tt0072926,0.0,9000000 
13409,tt0403537,0.0,0
14287,tt0360216,0.0,0
113178,tt0192766,0.0,0
25007,tt0361498,0.0,0
11171,tt0370986,0.0,0
14750,tt0089601,0.0,0
20941,tt0387914,0.0,0
33693,tt0327753,0.0,0
1665,tt0403217,0.0,0
17824,tt0089839,0.0,0
25199,tt0098453,0.0,0
445,tt0387898,0.0,EUR8000000 
17186,tt0403016,0.0,16000000 
1546,tt0318761,0.0,4000000 
15155,tt0291928,0.0,0
17386,tt0086192,0.0,700000 
9074,tt0399327,0.0,33000000 
8923,tt0385002,0.0,0
5471,tt0402057,0.0,0
11931,tt0388125,0.0,0
191599,tt0447016,0.0,0
13994,tt0368222,0.0,0
10033,tt0433400,0.0,0
9927,tt0267891,0.0,0
9681,tt0402894,0.0,0
9900,tt0456554,0.0,0
9918,tt0385726,0.0,0
16553,tt0412922,0.0,0
15363,tt0437777,0.0,0
1544,tt0421994,0.0,7900000 
14609,tt0491703,0.0,0
98864,tt0081414,0.0,0
16070,tt0493459,0.0,0
27201,tt0077372,0.0,9000000 
16367,tt0434124,0.0,0
18484,tt0413466,0.0,0
15402,tt0404802,0.0,0
4474,tt0465624,0.0,30000000 
7549,tt0446059,0.0,0
9513,tt0455499,0.0,60000000 
9917,tt0456020,0.0,0
10118,tt0433412,0.0,0
24115,tt0462346,0.0,26000000 
11652,tt0445990,0.0,40000000 
1249,tt0427969,0.0,28000000 
15213,tt0430779,0.0,35000000 
10070,tt0426459,0.0,3200000 
13364,tt0814075,0.0,0
8194,tt0473488,0.0,0
1123,tt0437232,0.0,14000000 
21710,tt0486585,0.0,0
9969,tt0790604,0.0,0
2357,tt0499603,0.0,0
10032,tt0480271,0.0,0
1730,tt0460829,0.0,0
4283,tt0772193,0.0,0
7457,tt0426883,0.0,0
1257,tt0490084,0.0,0
14761,tt0380268,0.0,0
4169,tt0401997,0.0,0
1253,tt0443456,0.0,0
11199,tt0486946,0.0,0
14055,tt0477095,0.0,0
2267,tt0768212,0.0,0
50185,tt0101725,0.0,0
15664,tt0458367,0.0,0
20405,tt0492481,0.0,0
6145,tt0488120,0.0,0
14636,tt0443473,0.0,0
1950,tt0338216,0.0,55000000 
13171,tt0458364,0.0,0
19947,tt0088678,0.0,0
10063,tt0455362,0.0,0
1990,tt0842929,0.0,3000000 
12695,tt0086366,0.0,0
19606,tt0085678,0.0,19000000 
31652,tt0089572,0.0,7000000 
16083,tt0432289,0.0,8000000 
10074,tt0787475,0.0,0
5956,tt0808331,0.0,0
6535,tt0796368,0.0,0
23495,tt0775566,0.0,0
9750,tt0424823,0.0,0
15156,tt0775488,0.0,8000000 
10961,tt0437857,0.0,0
14313,tt0800027,0.0,0
4520,tt0857265,0.0,0
5708,tt0421082,0.0,EUR4500000 
15651,tt0912583,0.0,0
5718,tt0388182,0.0,10000000 
2284,tt0457419,0.0,65000000 
26990,tt0841032,0.0,20000000 
33358,tt0424287,0.0,0
14423,tt0486578,0.0,0
14220,tt0489282,0.0,20000000 
8390,tt0832266,0.0,0
13260,tt0839980,0.0,55000000 
